Time, z_position, z_position_rk_tendency, y_position, y_position_rk_tendency, x_position, x_position_rk_tendency, volume, qr, nr, vterm, prevp, nrevp
   10.70,      2984.4088048659,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009977744,     54901.8273182548,         1.4585694750,        -0.0000001915,      -450.2354941654
   10.80,      2984.2629198185,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009977553,     54856.8430231888,         1.4588504522,        -0.0000001912,      -449.8429439568
   10.90,      2984.1170066686,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009977362,     54811.8979428447,         1.4591314774,        -0.0000001910,      -449.4507967438
   11.00,      2983.9710654114,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009977171,     54766.9920369813,         1.4594125504,        -0.0000001907,      -449.0590519423
   11.10,      2983.8250960421,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009976981,     54722.1252654158,         1.4596936713,        -0.0000001905,      -448.6677089695
   11.20,      2983.6790985559,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009976791,     54677.2975880234,         1.4599748402,        -0.0000001902,      -448.2767672438
   11.30,      2983.5330729480,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009976601,     54632.5089647375,         1.4602560571,        -0.0000001900,      -447.8862261850
   11.40,      2983.3870192136,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009976411,     54587.7593555493,         1.4605373219,        -0.0000001897,      -447.4960852142
   11.50,      2983.2409373480,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009976221,     54543.0487205077,         1.4608186348,        -0.0000001895,      -447.1063437538
   11.60,      2983.0948273463,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009976032,     54498.3770197193,         1.4610999956,        -0.0000001892,      -446.7170012274
   11.70,      2982.9486892036,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009975843,     54453.7442133482,         1.4613814045,        -0.0000001890,      -446.3280570601
   11.80,      2982.8025229153,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009975654,     54409.1502616159,         1.4616628615,        -0.0000001887,      -445.9395106781
   11.90,      2982.6563284765,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009975466,     54364.5951248011,         1.4619443665,        -0.0000001885,      -445.5513615089
   12.00,      2982.5101058823,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009975278,     54320.0787632396,         1.4622259197,        -0.0000001882,      -445.1636089813
   12.10,      2982.3638551281,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009975090,     54275.6011373243,         1.4625075209,        -0.0000001880,      -444.7762525255
   12.20,      2982.2175762088,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009974902,     54231.1622075048,         1.4627891703,        -0.0000001878,      -444.3892915729
   12.30,      2982.0712691199,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009974714,     54186.7619342875,         1.4630708679,        -0.0000001875,      -444.0027255561
   12.40,      2981.9249338563,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009974527,     54142.4002782356,         1.4633526137,        -0.0000001873,      -443.6165539090
